Name,Description
rluC,23S rRNA pseudouridine<sup>955/2504/2580</sup> synthase
dsbC,protein disulfide isomerase DsbC
cadA,lysine decarboxylase 1
minC,Z-ring positioning protein MinC
chpB,endoribonuclease toxin ChpB
lacI,DNA-binding transcriptional repressor LacI
ykgF,putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain
ydjK,putative transporter YdjK
dmsD,redox enzyme maturation protein DmsD
nlpA,lipoprotein-28
aaeA,aromatic carboxylic acid efflux pump membrane fusion protein
folB,dihydroneopterin aldolase
gltW,tRNA-Glu(UUC)
pncA,nicotinamidase
argS,arginine&mdash;tRNA ligase
artQ,L-arginine ABC transporter membrane subunit ArtQ
pheM,<i>pheST-ihfA</i> operon leader peptide
insA4,IS1 protein InsA
ccmE,periplasmic heme chaperone
mepK,"peptidoglycan L,D-endopeptidase"
sgrS,small regulatory RNA SgrS
malZ,maltodextrin glucosidase
sapA,putative periplasmic binding protein SapA
upp,uracil phosphoribosyltransferase
tolR,Tol-Pal system protein TolR
rnk,nucleoside diphosphate kinase regulator
pdxA,4-hydroxythreonine-4-phosphate dehydrogenase
aroA,3-phosphoshikimate 1-carboxyvinyltransferase
bfr,bacterioferritin
yegV,putative sugar kinase YegV
gspI,type II secretion system minor pseudopilin GspI
eco,serine protease inhibitor ecotin
yciY,uncharacterized protein YciY
glmS,L-glutamine&mdash;D-fructose-6-phosphate aminotransferase
chbB,"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme IIB component"
flgH,flagellar L-ring protein
mngR,DNA-binding transcriptional repressor MngR
trpR,DNA-binding transcriptional repressor TrpR
tyrR,DNA-binding transcriptional dual regulator TyrR
glmY,small regulatory RNA GlmY
insCD6,IS2 element transposase InsAB'
yraJ,putative fimbrial usher protein YraJ
proS,proline&mdash;tRNA ligase
hofM,DNA utilization protein HofM
gpp,"guanosine-5'-triphosphate,3'-diphosphate phosphatase"
ybcM,DLP12 prophage; putative DNA-binding transcriptional regulator
ypdK,uncharacterized membrane protein YpdK
rhmD,L-rhamnonate dehydratase
pfkB,6-phosphofructokinase 2
rutR,DNA-binding transcriptional dual regulator RutR
pflA,pyruvate formate-lyase activating enzyme
argO,L-arginine exporter
fxsA,protein FxsA
fabY,putative fatty acid biosynthesis enzyme FabY
torS,sensor histidine kinase TorS
nusG,transcription termination/antitermination factor NusG
rnb,RNase II
glmM,phosphoglucosamine mutase
pmrD,signal transduction protein PmrD
gmm,GDP-mannose mannosyl hydrolase
oxyR,DNA-binding transcriptional dual regulator OxyR
epd,D-erythrose-4-phosphate dehydrogenase
ackB,
bglG,transcriptional antiterminator BglG
phnC,phosphonate/phosphate ABC transporter ATP binding subunit
galF,"UTP:glucose-1-phosphate uridylyltransferase, low activity"
caiA,crotonobetainyl-CoA reductase
pstC,phosphate ABC transporter membrane subunit PstC
mntS,small protein MntS
ynjF,CDP-alcohol phosphatidyltransferase domain-containing protein YnjF
cmtB,mannitol-specific PTS enzyme IIA component CmtB
elaD,protease ElaD
casB,type I-E CRISPR system Cascade subunit CasB
ymgA,putative two-component system connector protein YmgA
fcl,GDP-L-fucose synthase
iraD,anti-adaptor protein IraD
ydjJ,putative zinc-binding dehydrogenase YdjJ
ybfL,putative transposase YbfL
mtlR,transcriptional repressor MtlR
nanE,probable <i>N</i>-acetylmannosamine-6-phosphate 2-epimerase
ydiF,putative acetate-CoA transferase YdiF
uxaA,D-altronate dehydratase
ttdR,Dan transcriptional activator // DNA-binding transcriptional activator Dan
phnM,RPnTP hydrolase
aspS,aspartate&mdash;tRNA ligase
torR,DNA-binding transcriptional dual regulator TorR
yrfG,purine nucleotidase
hflX,ribosome rescue factor HflX
ycjS,D-glucoside 3-dehydrogenase
ynfR,Qin prophage; protein YnfR
nupC,nucleoside:H<sup>+</sup> symporter NupC
fliT,flagellar biosynthesis protein FliT
ycgN,putative metal-chelating domain-containing protein YcgN
ymgD,PF16456 family protein YmgD
yidD,membrane protein insertion efficiency factor
ydcH,DUF465 domain-containing protein YdcH
rsuA,16S rRNA pseudouridine<sup>516</sup> synthase
yddL,putative uncharacterized protein YddL
fumD,fumarase D
ydaG,Rac prophage; uncharacterized protein YdaG
nuoM,NADH:quinone oxidoreductase subunit M
yhiN,putative oxidoreductase YhiN
afuC,CP4-6 prophage; ABC transporter ATP-binding protein AfuC
ydjH,L-<i>glycero</i>-L-galacto-octuluronate kinase
fiu,iron catecholate outer membrane transporter Fiu
degP,periplasmic serine endoprotease DegP
hcaC,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit
ydeI,BOF family protein YdeI
srlE,sorbitol-specific PTS enzyme IIBC<sub>1</sub> component
aaaE,phage terminase
yhfL,DUF4223 domain-containing lipoprotein YhfL
selA,selenocysteine synthase
adhE,fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE
yiaL,DUF386 domain-containing protein YiaL
yjaA,stress response protein
hcaF,putative 3-phenylpropionate/cinnamate dioxygenase subunit &beta;
b3007,
cpdB,"2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase"
dinJ,antitoxin/DNA-binding transcriptional repressor DinJ
yacL,PF06062 family protein YacL
C0299,
ypjF,CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system
yceO,DUF2770 domain-containing protein YceO
umpG,broad specificity 5'(3')-nucleotidase and polyphosphatase
mlaB,intermembrane phospholipid transport system protein MlaB
ychA,transglutaminase-like/TPR repeat-containing protein
hda,inibitor of reinitiation of DNA replication
rssB,RssB-P // regulator of RpoS
frvR,putative DNA-binding transcriptional regulator FrvR
tyrV,tRNA-Tyr(GUA)
mdtB,multidrug efflux pump RND permease subunit MdtB
acrD,multidrug efflux pump RND permease AcrD
ymdA,uncharacterized protein YmdA
ybhJ,putative hydratase YbhJ
sdsN,small regulatory RNA SdsN
yjaZ,protein YjaZ
ppc,phosphoenolpyruvate carboxylase
fmt,10-formyltetrahydrofolate:L-methionyl-tRNA<sup>fMet</sup> <i>N</i>-formyltransferase
eptC,phosphoethanolamine transferase EptC
tfaQ,Qin prophage; putative tail fiber assembly protein TfaQ
fabI,enoyl-[acyl-carrier-protein] reductase
dsbG,protein sulfenic acid reductase and chaperone DsbG
plaP,putrescine:H+ symporter PlaP
metK,methionine adenosyltransferase
ytiA,uncharacterized protein YtiA
ruvA,Holliday junction branch migration complex subunit RuvA
yjiA,P-loop guanosine triphosphatase YjiA
ysdD,protein YsdD
sraA,small RNA SraA
caiT,L-carnitine:&gamma;-butyrobetaine antiporter
sdhA,"succinate:quinone oxidoreductase, FAD binding protein"
yeeA,putative transporter YeeA
entC,isochorismate synthase EntC
hpt,hypoxanthine phosphoribosyltransferase
mak,fructokinase
zapG,Z-ring associated protein G
rplJ,50S ribosomal subunit protein L10
hcaD,putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit
yjhQ,KpLE2 phage-like element; putative acetyltransferase TopAI antitoxin YjhQ
hha,haemolysin expression-modulating protein Hha
ldrA,small toxic polypeptide LdrA
insD4,IS2 insertion element protein InsB
kbl,2-amino-3-ketobutyrate CoA ligase
lgoD,L-galactonate oxidoreductase
yliL,
yfaQ,tandem DUF2300 domain-containing protein YfaQ
metY,tRNA-initiator Met(CAU)
b1364,
ycbZ,putative ATP-dependent protease YcbZ
insF2,IS3 element protein InsF
ydfA,Qin prophage; DUF1391 domain-containing protein YdfA
dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase
gcvH,lipoyl-GcvH-protein // glycine cleavage system H protein
iprA,putative DNA-binding transcriptional regulator IprA
serU,tRNA-Ser(CGA)
lpxM,Lipid A biosynthesis myristoyltransferase
yijF,DUF1287 domain-containing protein YijF
frlA,fructoselysine/psicoselysine transporter
ygeK,putative DNA-binding transcriptional regulator YgeK
ydbD,DUF2773 domain-containing protein YdbD
yabI,DedA family protein YabI
opgH,osmoregulated periplasmic glucans biosynthesis protein H
cysH,phosphoadenosine phosphosulfate reductase
yggS,PLP homeostasis protein
oxc,oxalyl-CoA decarboxylase
gcvT,aminomethyltransferase
gnd,"6-phosphogluconate dehydrogenase, decarboxylating"
mcrC,Type IV methyl-directed restriction enzyme EcoKMcrBC subunit
hscC,chaperone protein HscC
ydbA,"putative outer membrane protein, N-terminal fragment"
ygfT,putative oxidoreductase YgfT
ybeT,Sel1 repeat-containing protein YbeT
fruA,fructose-specific PTS multiphosphoryl transfer protein FruA
yahO,DUF1471 domain-containing protein YahO
ydfC,Qin prophage; uncharacterized protein YdfC
sbmC,DNA gyrase inhibitor
qseB,Phosphorylated DNA-binding transcriptional activator QseB // DNA-binding transcriptional activator QseB
yiaB,PF05360 family inner membrane protein YiaB
rcbA,Rac prophage; double-strand break reduction protein
ybiB,nonspecific DNA-binding protein YbiB
adeQ,adenine transporter
fecC,ferric citrate ABC transporter membrane subunit FecC
G0-10703,
nusB,transcription antitermination protein NusB
mobB,molybdopterin-guanine dinucleotide biosynthesis adaptor protein
manX,mannose-specific PTS enzyme IIAB component
tesA,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1
talA,transaldolase A
yraK,putative fimbrial adhesin YraK
purN,phosphoribosylglycinamide formyltransferase 1
aslA,putative sulfatase AslA
frdB,fumarate reductase iron-sulfur protein
rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase"
rutA,pyrimidine monooxygenase RutA
proX,glycine betaine ABC transporter periplasmic binding protein ProX
guaD,guanine deaminase
ynfB,DUF1283 domain-containing protein YnfB
yhhL,DUF1145 domain-containing protein YhhL
rpsN,30S ribosomal subunit protein S14
rplP,50S ribosomal subunit protein L16
yhcC,radical SAM family oxidoreductase YhcC
yegI,putative serine/threonine-protein kinase YegI
yahE,DUF2877 domain-containing protein YahE
dhaL,dihydroxyacetone kinase subunit L
cstA,pyruvate transporter CstA
ytjA,DUF1328 domain-containing protein YtjA
yhgE,putative transport protein YhgE
fbaA,fructose-bisphosphate aldolase class II
ygcQ,putative flavoprotein
yoaL,protein YoaL
ycbX,6-<i>N</i>-hydroxylaminopurine resistance protein
narJ,nitrate reductase 1 molybdenum cofactor assembly chaperone
yieH,6-phosphogluconate phosphatase
yhfK,putative transporter YhfK
hypA,hydrogenase 3 nickel incorporation protein HypA
b0105,
nrfF,putative formate-dependent nitrite reductase complex subunit NrfF
yafN,antitoxin YafN
moaD,MoaD-S // molybdopterin synthase sulfur carrier subunit
ddpA,"putative D,D-dipeptide ABC transporter periplasmic binding protein"
rdcB,regulator of diguanylate cyclase RdcB
ygeX,"2,3-diaminopropionate ammonia-lyase"
yqjA,DedA family protein YqjA
yfcH,epimerase family protein YfcH
rimK,ribosomal protein S6 modification protein
menI,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"
naRNA2,naRNA2
yfeC,DNA-binding transcriptional dual regulator YfeC
smrB,ribosome rescue factor SmrB
ydbL,DUF1318 domain-containing protein YdbL
opgE,phosphoethanolamine transferase OpgE
rpnA,recombination-promoting nuclease RpnA
flgK,flagellar hook-filament junction protein 1
dmsA,dimethyl sulfoxide reductase subunit A
dfp,fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase
rlmL,fused 23S rRNA m<sup>2</sup>G2445 methyltransferase and 23S rRNA m<sup>7</sup>G2069 methyltransferase
ruvB,Holliday junction branch migration complex subunit RuvB
yghU,disulfide reductase / organic hydroperoxide reductase
ykgE,putative lactate utilization oxidoreductase YkgE
ybfC,uncharacterized protein YbfC
recE,"Rac prophage; exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific"
scpB,methylmalonyl-CoA decarboxylase
nepI,purine ribonucleoside exporter
glvB,putative PTS enzyme II component GlvB
yfdG,CPS-53 (KpLE1) prophage; putative bactoprenol-linked glucose translocase
ypdE,aminopeptidase YpdE
hisC,histidinol-phosphate aminotransferase
sodB,superoxide dismutase (Fe)
csgD,DNA-binding transcriptional dual regulator CsgD
yciA,acyl-CoA thioesterase YciA
nohA,Qin prophage; putative prophage DNA-packaging protein NohA
yoaJ,uncharacterized protein YoaJ
yncL,uncharacterized protein YncL
dkgA,methylglyoxal reductase DkgA
recO,recombination mediator protein RecO
ftsI,peptidoglycan DD-transpeptidase FtsI
csgF,curli assembly component CsgF
ghxQ,guanine/hypoxanthine transporter GhxQ
yigF,DUF2628 domain-containing protein YigF
rsd,regulator of sigma D
ydcU,putative ABC transporter membrane subunit YdcU
metT,tRNA-Met(CAU)
rtcB,RNA-splicing ligase
yiiQ,DUF1454 domain-containing protein YiiQ
tolB,Tol-Pal system periplasmic protein TolB
argX,tRNA-Arg(CCG)
yqhJ,protein YqhJ
cysK,cysteine synthase A
baeS,BaeS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BaeS
csgE,curli assembly component CsgE
waaB,"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase"
pheU,tRNA-Phe(GAA)
lolC,lipoprotein release complex - inner membrane subunit
yeaC,DUF1315 domain-containing protein YeaC
mlaF,"intermembrane phospholipid transport system, ATP binding subunit MlaF"
tdcD,propionate kinase
atoD,acetyl-CoA:acetoacetyl-CoA transferase subunit &alpha;
yhfX,putative PLP-binding protein YhfX
ybdM,ParB-like nuclease domain-containing protein YbdM
rpsI,30S ribosomal subunit protein S9
yigG,inner membrane protein
yaaI,DUF2541 domain-containing protein YaaI
hscB,[Fe-S] cluster biosynthesis co-chaperone HscB
sulA,cell division inhibitor SulA
insH6,CP4-44 prophage; IS<i>5</i> transposase and trans-activator
dgcM,diguanylate cyclase DgcM
evgA,DNA-binding transcriptional activator EvgA-phosphorylated // DNA-binding transcriptional activator EvgA
recD,exodeoxyribonuclease V subunit RecD
ybbP,putative ABC transporter membrane subunit YbbP
ybjC,DUF1418 domain-containing protein YbjC
frlC,fructoselysine 3-epimerase
ynbG,uncharacterized protein YnbG
pqqL,periplasmic metalloprotease
yhdX,putative ABC transporter membrane subunit YhdX
quuD,DLP12 prophage; prophage antitermination protein Q homolog QuuD
otsA,trehalose-6-phosphate synthase
yahH,putative uncharacterized protein YahH
pyrC,dihydroorotase
uvrD,DNA helicase II
yffM,CPZ-55 prophage; uncharacterized protein YffM
pyrF,orotidine-5'-phosphate decarboxylase
paaI,phenylacetyl-CoA thioesterase
ybcN,DLP12 prophage; DNA base-flipping protein
xanQ,xanthine:H+ symporter XanQ
xseA,exodeoxyribonuclease VII subunit XseA
ygcU,putative FAD-containing dehydrogenase
yhdZ,putative ABC transporter ATP-binding subunit YhdZ
wcaI,colanic acid biosynthesis fucosyltransferase WcaI
murQ,<i>N</i>-acetylmuramic acid 6-phosphate etherase
ydfU,Qin prophage; protein YdfU
ebgC,DUF386 domain-containing evolved &beta;-D-galactosidase subunit &beta;
arpA,regulator of acetyl CoA synthetase
flgE,flagellar hook protein FlgE
artM,L-arginine ABC transporter membrane subunit ArtM
feaR,DNA-binding transcriptional activator FeaR
yhbS,putative <i>N</i>-acetyltransferase YhbS
nadD,nicotinate-nucleotide adenylyltransferase
rseA,anti-sigma-E factor RseA
srkA,stress response kinase A
lpxA,acyl-[acyl-carrier-protein]&mdash;UDP-<i>N</i>-acetylglucosamine <i>O</i>-acyltransferase
lipA,lipoyl synthase
citF,citrate lyase &alpha; subunit
phoB,DNA-binding transcriptional dual regulator PhoB-phosphorylated // DNA-binding transcriptional dual regulator PhoB
pspE,thiosulfate sulfurtransferase PspE
sraB,small RNA SraB
otsB,trehalose-6-phosphate phosphatase
ridA,"enamine/imine deaminase, redox-regulated chaperone"
nemR,DNA-binding transcriptional repressor NemR
yibT,protein YibT
nfuA,iron-sulfur cluster carrier protein NfuA
solA,N-methyl-L-tryptophan oxidase
napG,ferredoxin-type protein NapG
eutK,"putative structural protein, ethanolamine utilization microcompartment"
ykfC,CP4-6 prophage; PF00078 domain-containing protein YkfC
yfjD,UPF0053 family inner membrane protein YfjD
aaeX,DUF1656 domain-containing protein AaeX
yddM,DNA-binding transcriptional regulator YddM
cspB,Qin prophage; cold shock-like protein CspB
yihO,putative sulfoquinovose transporter
yabQ,protein YabQ
cutC,PF03932 family protein CutC
ubiF,3-demethoxyubiquinol 3-hydroxylase
pqqU,pyrroloquinoline quinone outer membrane transporter
yhaC,uncharacterized protein YhaC
ulaD,3-keto-L-gulonate-6-phosphate decarboxylase UlaD
trmD,tRNA m<sup>1</sup>G37 methyltransferase
yjgL,protein YjgL
yqaA,DedA family protein YqaA
ydiT,ferredoxin-like protein YdiT
mscK,"potassium dependent, small conductance mechanosensitive channel"
ompT,DLP12 prophage; omptin family outer membrane protease OmpT
casD,type I-E CRISPR system Cascade subunit CasD
yfbO,uncharacterized protein YfbO
ybbA,putative ABC transporter ATP-binding protein YbbA
ddpF,"putative D,D-dipeptide ABC transporter ATP-binding subunit DdpF"
ftsA,cell division protein FtsA
mdtH,multidrug efflux pump MdtH
yqhH,lipoprotein YqhH
yhiI,putative membrane fusion protein YhiI
mhpD,2-hydroxypentadienoate hydratase
priC,primosomal replication protein N''
norR,DNA-binding transcriptional dual regulator NorR
ydiO,putative acyl-CoA dehydrogenase YdiO
ynfO,Qin prophage; DUF3950 domain-containing protein YnfO
dinF,DNA damage-inducible protein F
rfbB,"dTDP-glucose 4,6-dehydratase 1"
yecV,protein YecV
hprS,sensor histidine kinase HprS
ysaD,
ytfP,&gamma;-glutamylamine cyclotransferase family protein YtfP
rhaR,DNA-binding transcriptional activator RhaR
yoaF,DUF333 domain-containing lipoprotein YoaF
pdxY,pyridoxal kinase 2
yadC,fimbrial tip-adhesin YadC
deoA,thymidine phosphorylase
astE,succinylglutamate desuccinylase
yedS,"putative outer membrane protein YedS, N-terminal fragment"
ycgR,flagellar brake protein YcgR
murB,UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase
hyfJ,putative hydrogenase 4 assembly protein
ytfQ,galactofuranose ABC transporter periplasmic binding protein
ycfT,inner membrane protein YcfT
rpiA,ribose-5-phosphate isomerase A
bioF,8-amino-7-oxononanoate synthase
gpt,xanthine-guanine phsophoribosyltransferase
yfdK,CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK
dnaX,DNA polymerase III subunit &gamma; // DNA polymerase III subunit &tau;
rbsD,D-ribose pyranase
hslR,heat shock protein Hsp15
ybiE,protein YbiE
ygjJ,protein YgjJ
yfdS,CPS-53 (KpLE1) prophage; protein YfdS
mdtF,multidrug efflux pump RND permease MdtF
rtcR,DNA-binding transcriptional activator RtcR
agaA,putative truncated N-acetylgalactosamine-6-phosphate deacetylase
cbpM,chaperone modulator CbpM
hofP,DNA utilization protein HofP
yjdJ,putative <i>N</i>-acetyltransferase YjdJ
yfbV,PF04217 family membrane protein YfbV
mrp,P-loop NTPase family protein Mrp
sdaC,L-serine:H+ symporter
peaD,
nrdA,ribonucleoside-diphosphate reductase 1 subunit &alpha;
gcvA,DNA-binding transcriptional dual regulator GcvA
yeaR,DUF1971 domain-containing protein YeaR
menB,"1,4-dihydroxy-2-naphthoyl-CoA synthase"
puuB,&gamma;-glutamylputrescine oxidase
yidP,putative DNA-binding transcriptional regulator YidP
garD,GarD
dacA,D-alanyl-D-alanine carboxypeptidase DacA
yfjS,CP4-57 prophage; inner membrane lipoprotein YfjS
rsfS,ribosomal silencing factor RsfS
gloA,lactoylglutathione lyase
cnoX,chaperedoxin
yegD,HSP70 family protein YegD
rlmH,23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase
cyoD,cytochrome <i>bo</i><sub>3</sub> subunit 4
gabP,4-aminobutanoate:H<sup>+</sup> symporter
yafZ,CP4-6 prophage; DUF932 domain-containing protein YafZ
bdm,biofilm-dependent modulation protein
napA,periplasmic nitrate reductase subunit NapA
tolQ,Tol-Pal system protein TolQ
sbcD,ATP-dependent structure-specific DNA nuclease - SbcD subunit
yafJ,putative glutamine amidotransferase YafJ
rapA,RNA polymerase-binding ATPase and RNAP recycling factor
ysaE,protein YsaE
ykgV,CP4-6 prophage; protein YkgV
ygaV,putative DNA-binding transcriptional regulator YgaV
gspK,type II secretion system minor pseudopilin GspK
rclB,DUF1471 domain-containing protein RclB
ryjA,small RNA RyjA
yihR,putative sulfoquinovose mutarotase YihR
mltG,endolytic murein transglycosylase
uspB,universal stress protein B
hisM,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM"
lpd,lipoamide dehydrogenase
emrD,multidrug efflux pump EmrD
clpP,ATP-dependent Clp protease proteolytic subunit
yodB,putative cytochrome b561 YodB
fadL,long-chain fatty acid outer membrane channel / bacteriophage T2 receptor
insB2,IS1 protein InsB
dtpD,dipeptide:H<sup>+</sup> symporter DtpD
plsY,putative glycerol-3-phosphate acyltransferase
bdcA,c-di-GMP-binding biofilm dispersal mediator protein
cueO,multicopper oxidase CueO
ydaW,Rac prophage; putative uncharacterized protein YdaW
eutT,putative ethanolamine utilization cobalamin adenosyltransferase
cobC,putative adenosylcobalamin phosphatase/&alpha;-ribazole phosphatase
phnN,"ribose 1,5-bisphosphate phosphokinase"
gltI,glutamate/aspartate ABC transporter periplasmic binding protein
fumE,fumarase E
yebW,DUF1482 domain-containing protein YebW
torI,CPS-53 (KpLE1) prophage; prophage CPS-53 recombination directionality factor and response regulator inhibitor
mgtS,small protein MgtS
frvA,putative PTS enzyme IIA component FrvA
hypE,HypE-S-carboxamide // carbamoyl dehydratase HypE
yidX,putative lipoprotein YidX
yedI,DUF808 domain-containing inner membrane protein YedI
safA,two-component system connector SafA
wecB,UDP-<i>N</i>-acetylglucosamine 2-epimerase
yciW,putative peroxidase YciW
aceB,malate synthase A
rhsE,RhsE protein in rhs element
syd,SecY-interacting protein
guaB,inosine 5'-monophosphate dehydrogenase
ymgE,PF04226 family protein YmgE
yaaU,putative transporter YaaU
insA9,IS1 repressor TnpA
sodC,superoxide dismutase (Cu-Zn)
yfdP,CPS-53 (KpLE1) prophage; uncharacterized protein YfdP
argI,ornithine carbamoyltransferase ArgI
treC,trehalose-6-phosphate hydrolase
zraP,signaling pathway modulator ZraP
fhuB,iron(III) hydroxamate ABC transporter membrane subunit
rsmD,16S rRNA m<sup>2</sup>G966 methyltransferase
ubiD,3-octaprenyl-4-hydroxybenzoate decarboxylase
gatR,"DNA-binding transcriptional repressor GatR, N-terminal fragment"
glpC,anaerobic glycerol-3-phosphate dehydrogenase subunit C
mngA,2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II
yadK,putative fimbrial protein YadK
fur,DNA-binding transcriptional dual regulator Fur
fimG,type 1 fimbriae minor subunit FimG
motA,motility protein A
ybfB,uncharacterized protein YbfB
rimJ,ribosomal-protein-S5-alanine N-acetyltransferase
ygeW,putative carbamoyltransferase YgeW
rrfC,5S ribosomal RNA
tyrA,fused chorismate mutase/prephenate dehydrogenase
nlpI,lipoprotein NlpI
yehE,DUF2574 domain-containing protein YehE
ydjZ,DedA family protein YdjZ
yjaB,peptidyl-lysine <i>N</i>-acetyltransferase YjaB
htrE,putative fimbrial usher protein HtrE
yidK,putative transporter YidK
ybcJ,putative RNA-binding protein YbcJ
hemD,uroporphyrinogen-III synthase
tcyP,cystine/sulfocysteine:cation symporter
yieP,DNA-binding transcriptional dual regulator YieP
ydgJ,putative oxidoreductase YdgJ
mcbR,DNA-binding transcriptional dual regulator McbR
ygfX,protein YgfX
ytiE,protein YtiE
cysT,tRNA-Cys(GCA)
rbsR,DNA-binding transcriptional dual regulator RbsR
yqcG,cell envelope stress response protein YqcG
ybaY,PF09619 family lipoprotein YbaY
yhfS,putative aminotransferase YhfS
thiI,tRNA uridine 4-sulfurtransferase
hycA,regulator of the transcriptional regulator FhlA
yejA,putative oligopeptide ABC transporter periplasmic binding protein YejA
yjdP,protein YjdP
pyrG,CTP synthetase
dmsB,dimethyl sulfoxide reductase subunit B
zapD,cell division factor ZapD
cydB,cytochrome <i>bd</i>-I subunit 2
ymgC,protein YmgC
cusB,copper/silver export system membrane fusion protein
ypdI,colanic acid synthesis putative lipoprotein YpdI
thiQ,thiamine ABC transporter ATP binding subunit
metI,L-methionine/D-methionine ABC transporter membrane subunit
insH11,IS<i>5</i> transposase and trans-activator
folA,dihydrofolate reductase
rnc,RNase III
patZ,peptidyl-lysine <i>N</i>-acetyltransferase
tehA,tellurite resistance protein
yebF,secreted protein YebF
ytcB,protein YtcB
mdtQ,putative multidrug resistance outer membrane protein MdtQ
usg,putative semialdehyde dehydrogenase Usg
secB,protein export chaperone SecB
b3004,
yhcF,DUF1120 domain-containing protein YhcF
ycjF,DUF697 domain-containing inner membrane protein YcjF
ytfT,galactofuranose ABC transporter putative membrane subunit YtfT
yihS,sulfoquinovose isomerase
garL,&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase
rbsK,ribokinase
mglC,D-galactose/methyl-galactoside ABC transporter membrane subunit
rsxD,SoxR [2Fe-2S] reducing system protein RsxD
rmf,ribosome modulation factor
rcsA,DNA-binding transcriptional activator RcsA
insH1,CP4-6 prophage; IS<i>5</i> transposase and trans-activator
glgP,glycogen phosphorylase
map,methionine aminopeptidase
obgE,GTPase ObgE
insC6,KpLE2 phage-like element; IS2 insertion element repressor InsA
IS128,
tsuB,putative thiosulfate sulfurtransferase
ypeB,PF12843 family protein YpeB
ubiT,anaerobic ubiquinone biosynthesis accessory factor UbiT
rpnC,recombination-promoting nuclease RpnC
degQ,periplasmic serine endoprotease
puuE,4-aminobutyrate aminotransferase PuuE
yhhI,putative transposase
b0538,
ycaN,putative DNA-binding transcriptional regulator YcaN
gutQ,D-arabinose 5-phosphate isomerase GutQ
entB,<i>holo</i> EntB // enterobactin synthase component B
malM,maltose regulon periplasmic protein
yoaM,protein YoaM
yccE,uncharacterized protein YccE
ymfH,e14 prophage; putative protein YmfH
pssL,protein PssL
ecpA,common pilus major subunit
elfG,putative fimbrial-like adhesin protein
nuoI,NADH:quinone oxidoreductase subunit I
btuC,vitamin B<sub>12</sub> ABC transporter membrane subunit
insE3,DLP12 prophage; IS3 element protein InsE
tamA,translocation and assembly module subunit TamA
paaA,"phenylacetyl-CoA 1,2-epoxidase, monooxygenase subunit"
ryjB,small RNA RyjB
idi,isopentenyl-diphosphate &Delta;-isomerase
atoB,acetyl-CoA acetyltransferase
torD,trimethylamine-N-oxide reductase-specific chaperone
kdgR,DNA-binding transcriptional repressor KdgR
dapA,4-hydroxy-tetrahydrodipicolinate synthase
evgS,EvgS-<i>N</i>-phospho-L-histidine-721 // EvgS-phospho-L-aspartate // EvgS-<i>N</i>-phospho-L-histidine-1137 // sensor histidine kinase EvgS
ygaH,"L-valine exporter, YgaH component"
yqiA,esterase YqiA
hipB,antitoxin/DNA-binding transcriptional repressor HipB
glnB,uridylyl-[protein PII-1] // nitrogen regulatory protein PII-1
corA,Ni<sup>2+</sup>/Co<sup>2+</sup>/Mg<sup>2+</sup> transporter
allD,ureidoglycolate dehydrogenase
gspJ,type II secretion system minor pseudopilin GspJ
nadC,quinolinate phosphoribosyltransferase (decarboxylating)
yceJ,putative cytochrome b561 YceJ
fimH,type 1 fimbriae D-mannose specific adhesin
dsrA,small regulatory RNA DsrA
rsmH,16S rRNA m<sup>4</sup>C1402 methyltransferase
ykgH,uncharacterized protein YkgH
ftsY,signal recognition particle receptor
hofB,T2SSE family protein
rpmE,50S ribosomal subunit protein L31
dedA,DedA family protein DedA
guaA,GMP synthetase
yfaA,DUF2138 domain-containing protein YfaA
ilvC,ketol-acid reductoisomerase (NADP<sup>+</sup>)
oppB,murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppB
ygeN,putative type III secretion system protein YgeN
yqjK,PF13997 family protein YqjK
thiD,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
ydaF,Rac prophage; DUF1391 domain-containing protein YdaF
livK,L-leucine/L-phenylalanine ABC transporter periplasmic binding protein
